Hazard,Published,Language,Title,Description,Web Url,Mitigation Stages,Seasonal Forecast Stages,Watch Stages,Warning Stages,Immediate Stages,Recover Stages
Biological Hazard,No,en,Key Messages for Biological Hazard,These are actions to take to reduce risk and protect you and your household from biological hazards.,,"Know the chemical, biological, radiological and nuclear hazard risks in your area",Listen to advice of authorities regarding preventative and protective measures,Listen to advice of authorities regarding preventative and protective measures,Listen to advice of authorities regarding preventative and protective measures,Listen to advice of authorities regarding preventative and protective measures,"If contaminated, take quick action: cover nose and mouth, remove clothing and seal in bags, wash yourself thoroughly"
,,,,,,Know the existing early warning systems in your area,"If you hear about a chemical, biological, radiological or nuclear hazard, share the information with others","Avoid areas exposed to chemical, biological, radiological and nuclear hazards","If safer to shelter in place than evacuate immediately, close windows and stay away from exterior openings in the building","If safer to shelter in place than evacuate immediately, close windows and stay away from exterior openings in the building","Avoid areas exposed to chemical, biological, radiological and nuclear hazards"
,,,,,,Make your household evacuation plans and identify safe havens,Keep emergency contact and health information available,"If you hear about a chemical, biological, radiological or nuclear hazard, share the information with others",Take shelter if you are outside or in a car,Take shelter if you are outside or in a car,
,,,,,,,Review your household evacuation plans and safe havens,Ensure safe distance between you and the emergency site ,"If contaminated, take quick action: cover nose and mouth, remove clothing and seal in bags, wash yourself thoroughly","If contaminated, take quick action: cover nose and mouth, remove clothing and seal in bags, wash yourself thoroughly",
,,,,,,,Store enough food and water for five days,Store enough food and water for five days,,,
Chemical Hazard,No,en,Key Messages for Chemical Hazard,These are actions to take to reduce risk and protect you and your household from chemical hazards.,,"Know the chemical, biological, radiological and nuclear hazard risks in your area",Listen to advice of authorities regarding preventative and protective measures,Listen to advice of authorities regarding preventative and protective measures,Listen to advice of authorities regarding preventative and protective measures,Listen to advice of authorities regarding preventative and protective measures,"If contaminated, take quick action: cover nose and mouth, remove clothing and seal in bags, wash yourself thoroughly"
,,,,,,Know the existing early warning systems in your area,"If you hear about a chemical, biological, radiological or nuclear hazard, share the information with others","Avoid areas exposed to chemical, biological, radiological and nuclear hazards","If safer to shelter in place than evacuate immediately, close windows and stay away from exterior openings in the building","If safer to shelter in place than evacuate immediately, close windows and stay away from exterior openings in the building","Avoid areas exposed to chemical, biological, radiological and nuclear hazards"
,,,,,,Make your household evacuation plans and identify safe havens,Keep emergency contact and health information available,"If you hear about a chemical, biological, radiological or nuclear hazard, share the information with others",Take shelter if you are outside or in a car,Take shelter if you are outside or in a car,
,,,,,,,Review your household evacuation plans and safe havens,Ensure safe distance between you and the emergency site ,"If contaminated, take quick action: cover nose and mouth, remove clothing and seal in bags, wash yourself thoroughly","If contaminated, take quick action: cover nose and mouth, remove clothing and seal in bags, wash yourself thoroughly",
,,,,,,,Store enough food and water for five days,Store enough food and water for five days,,,
Drought,No,en,Key Messages for Drought,These are actions to take to reduce risk and protect you and your household from drought.,,Plan to improve your household food security,Conserve water by minimizing both indoor and outdoor usage,Stockpile essential foods,Stockpile essential foods,Stockpile essential foods,
,,,,,,Plan for rationing of food and water,Protect yourself in your home,Plan daily basic food rations of good nutritional value,Plan daily basic food rations of good nutritional value,Plan daily basic food rations of good nutritional value,
,,,,,,Approach water as a community resource. Plan accordingly.,Preserve and store food,Mitigate loss of livestock,Mitigate loss of livestock,Mitigate loss of livestock,
Earthquake,No,en,Key Messages for Earthquake,These are actions to take to reduce risk and protect you and your household from earthquakes.,,Stay informed of geographic risks and local communication channels,Remain calm,Remain calm,Remain calm,Remain calm,"After the main shaking stops, if you are indoors, move cautiously and evacuate the building"
,,,,,,Identify items that could cause harm and work to secure them,"If indoors, drop to your knees, cover your head and neck, and hold on to your cover","If indoors, drop to your knees, cover your head and neck, and hold on to your cover","If indoors, drop to your knees, cover your head and neck, and hold on to your cover","If indoors, drop to your knees, cover your head and neck, and hold on to your cover",Expect aftershocks
,,,,,,Identify safest places inside and outside your building,"If on the ground floor of an adobe house with a heavy roof, exit quickly","If on the ground floor of an adobe house with a heavy roof, exit quickly","If on the ground floor of an adobe house with a heavy roof, exit quickly.","If on the ground floor of an adobe house with a heavy roof, exit quickly.",Stay out of damaged buildings and away from damaged areas
,,,,,,Practice earthquake drills in different locations,"If outdoors, find a clear spot and drop to your knees to prevent falling","If outdoors, find a clear spot and drop to your knees to prevent falling","If outdoors, find a clear spot and drop to your knees to prevent falling","If outdoors, find a clear spot and drop to your knees to prevent falling",Look for and prevent fire hazards
,,,,,,,"If in a vehicle, go to a clear location and pull over","If in a vehicle, go to a clear location and pull over","If in a vehicle, go to a clear location and pull over","If in a vehicle, go to a clear location and pull over",
,,,,,,,,,,"After the main shaking stops, if you are indoors, move cautiously and evacuate the building",
,,,,,,,,,,Expect aftershocks,
Extreme Cold,No,en,Key Messages for Extreme Cold,These are actions to take to reduce risk and protect you and your household from extreme cold.,,Know your area's risks for extreme weather conditions,Prepare your home. Check on pipes and have safe heating sources.,Protect your home. Check on pipes and use heating sources safely.,Protect your home. Check on pipes and use heating sources safely,Protect your home. Check on pipes and use heating sources safely,"Be aware and cautious of icy conditions, especially while driving"
,,,,,,Know your nearest points of medical support,Prepare your vehicle with necessary emergency items and fuel,Stay hydrated with warm fluids,Stay hydrated with warm fluids,Stay hydrated with warm fluids,Be aware of power outages
,,,,,,Prepare your home. Check on pipes and have safe heating sources.,Stay hydrated with warm fluids,Protect yourself with warm clothing and cover exposed skin,Protect yourself with warm clothing and cover exposed skin,Stay inside.,Be aware of flooding caused by snow melting
,,,,,,Prepare your vehicle with necessary emergency items and fuel,"Check on neighbors, friends, and those at risk","Be aware and cautious of icy conditions, especially while driving","Be aware and cautious of icy conditions, especially while driving","Be aware and cautious of icy conditions, especially while driving",
,,,,,,,,"Check on neighbors, friends, and those at risk","Check on neighbors, friends, and those at risk",Know and watch for signs of hypothermia and frostbite,
,,,,,,,,,,"Check on neighbors, friends, and those at risk",
Extreme Heat,No,en,Key Messages for Extreme Heat,These are actions to take to reduce risk and protect you and your household from extreme heat.,,Know your area's vulnerability to extreme heat,Protect your living space by keeping rooms cool,Avoid direct exposure to the sun,Avoid direct exposure to the sun,Avoid direct exposure to the sun,Stay hydrated
,,,,,,Prepare cooling and shade structures,Adapt your eating and drinking habits to stay hydrated,Stay hydrated,"Protect yourself with lightweight, loose-fitting clothing","Protect yourself with lightweight, loose-fitting clothing",Cool yourself down
,,,,,,Know your nearest points of medical support,Modify daily routines and limit outdoor activity,Cool yourself down,Stay hydrated,Stay hydrated,"Check with your neighbors, friends, and those at risk"
,,,,,,Know places in your community where you can avoid the heat,"Check with your neighbors, friends, and those at risk","Protect yourself with lightweight, loose-fitting clothing",Cool yourself down,Cool yourself down,
,,,,,,,,"Check with your neighbors, friends, and those at risk","Check with your neighbors, friends, and those at risk","Check with your neighbors, friends, and those at risk",
Flood,No,en,Key Messages for Flood,These are actions to take to reduce risk and protect you and your household from floods.,,"Make a household emergency plan, including evacuation routes and destinations","Review your household emergency plan, including evacuation routes and destinations","Review your family emergency plan, including evacuation routes and destinations","Know your household evacuation plan, including evacuation routes and destinations",Never try to walk or drive through flood waters while evacuating. Turn around and go the other way.,Take care around floodwaters
,,,,,,Maintain water channels,Keep emergency contact and health information available,Keep your vehicle fuel tank filled in case of evacuation,Keep your vehicle fuel tank filled in case of evacuation,"If in a vehicle, avoid unsafe conditions like flowing water and underpasses.",Start clearing out and drying your home when rain stops and water recedes
,,,,,,Provide a raised plinth for animals,Keep valuables and hazardous materials above likely water levels,Store extra water,Never try to drive through flood waters. Turn around and go the other way.,"Stay out of floodwater. If unable to evacuate, move to higher ground away from water sources.",Take sanitation precautions
,,,,,,,"Keep supplies to protect your home, such as sandbags and plastic sheeting","Keep supplies to protect your home, such as sandbags and plastic sheeting",Store extra water,,Clean up carefully
,,,,,,,,,"Keep supplies to protect your home, such as sandbags and plastic sheeting",,
Hailstorm,No,en,Key Messages for Hailstorm,These are actions to take to reduce risk and protect you and your household from hailstorms.,,"Stay informed: monitor weather, listen to local radio channels for weather updates and follow instruction",Identify safest places inside and outside your building,Identify safest places inside and outside your building,Identify safest places inside and outside your building,Remain calm,Check for damage
,,,,,,Identify safest places inside and outside your building,Protect your animals,Protect your animals,Protect your animals,"If you are outdoors, move to shelter",
,,,,,,,Keep supplies to protect your home. Cover windows.,Keep supplies to protect your home. Cover windows.,Keep supplies to protect your home. Cover windows.,"If you are indoors, stay away from windows",
